"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Andrew Nicholson",3200,"Bos@Orl 06:00PM ET",12.750,"Orl"
"PG","Shabazz Napier",3200,"Bos@Orl 06:00PM ET",10.217,"Orl"
"C","Myles Turner",3200,"Ind@LAL 09:30PM ET",12.031,"Ind"
"PG","C.J. Watson",3100,"Bos@Orl 06:00PM ET",13.875,"Orl"
"SG","Vince Carter",3000,"Phi@Mem 06:00PM ET",13.125,"Mem"
"PG","Jason Terry",3000,"Hou@NY 07:30PM ET",9.750,"Hou"
"PG","Steve Blake",3000,"Det@Bkn 06:00PM ET",11.208,"Det"
"PF","Louis Amundson",3000,"Hou@NY 07:30PM ET",6.333,"NY"
"PG","Ronnie Price",3000,"Pho@Tor 06:00PM ET",9.179,"Pho"
"PF","Anthony Tolliver",3000,"Det@Bkn 06:00PM ET",11.167,"Det"
"SG","Sasha Vujacic",3000,"Hou@NY 07:30PM ET",10.365,"NY"
"PF","Carl Landry",3000,"Phi@Mem 06:00PM ET",0,"Phi"
"PF","Jason Smith",3000,"Bos@Orl 06:00PM ET",11.591,"Orl"
"PF","Joel Anthony",3000,"Det@Bkn 06:00PM ET",6.000,"Det"
"C","Aron Baynes",3000,"Det@Bkn 06:00PM ET",10.781,"Det"
"C","Andrea Bargnani",3000,"Det@Bkn 06:00PM ET",9.267,"Bkn"
"SG","Wayne Ellington",3000,"Det@Bkn 06:00PM ET",7.661,"Bkn"
"SG","Jodie Meeks",3000,"Det@Bkn 06:00PM ET",2.000,"Det"
"SF","Lance Thomas",3000,"Hou@NY 07:30PM ET",9.103,"NY"
"PG","Donald Sloan",3000,"Det@Bkn 06:00PM ET",4.000,"Bkn"
"SG","Sonny Weems",3000,"Pho@Tor 06:00PM ET",4.500,"Pho"
"SF","James Johnson",3000,"Pho@Tor 06:00PM ET",8.917,"Tor"
"C","Robert Sacre",3000,"Ind@LAL 09:30PM ET",4.000,"LAL"
"C","Tyler Zeller",3000,"Bos@Orl 06:00PM ET",7.563,"Bos"
"SF","Willie Reed",3000,"Det@Bkn 06:00PM ET",0,"Bkn"
"PF","Kyle O'Quinn",3000,"Hou@NY 07:30PM ET",14.583,"NY"
"PF","Jonas Jerebko",3000,"Bos@Orl 06:00PM ET",8.625,"Bos"
"C","Shayne Whittington",3000,"Ind@LAL 09:30PM ET",-1.000,"Ind"
"SF","Derrick Williams",3000,"Hou@NY 07:30PM ET",12.422,"NY"
"SF","Solomon Hill",3000,"Ind@LAL 09:30PM ET",5.208,"Ind"
"SF","Ryan Kelly",3000,"Ind@LAL 09:30PM ET",11.792,"LAL"
"PF","Cory Jefferson",3000,"Pho@Tor 06:00PM ET",4.500,"Pho"
"PF","Thomas Robinson",3000,"Det@Bkn 06:00PM ET",10.567,"Bkn"
"SG","Terrence Ross",3000,"Pho@Tor 06:00PM ET",10.725,"Tor"
"PF","Kevin Seraphin",3000,"Hou@NY 07:30PM ET",7.885,"NY"
"C","Tarik Black",3000,"Ind@LAL 09:30PM ET",9.844,"LAL"
"PG","Phil Pressey",3000,"Phi@Mem 06:00PM ET",13.091,"Phi"
"SF","Anthony Brown",3000,"Ind@LAL 09:30PM ET",2.500,"LAL"
"PG","Jerian Grant",3000,"Hou@NY 07:30PM ET",13.132,"NY"
"PG","Kendall Marshall",3000,"Phi@Mem 06:00PM ET",0,"Phi"
"SF","Reggie Bullock",3000,"Det@Bkn 06:00PM ET",1.600,"Det"
"PG","Russ Smith",3000,"Phi@Mem 06:00PM ET",2.833,"Mem"
"SG","Markel Brown",3000,"Det@Bkn 06:00PM ET",6.786,"Bkn"
"SF","Devyn Marble",3000,"Bos@Orl 06:00PM ET",1.188,"Orl"
"SG","Joe Young",3000,"Ind@LAL 09:30PM ET",3.542,"Ind"
"PG","Marcelo Huertas",3000,"Ind@LAL 09:30PM ET",10.844,"LAL"
"PG","Bryce Cotton",3000,"Pho@Tor 06:00PM ET",0,"Pho"
"SG","Darrun Hilliard",3000,"Det@Bkn 06:00PM ET",5.750,"Det"
"SG","James Ennis",3000,"Phi@Mem 06:00PM ET",0.950,"Mem"
"PG","Spencer Dinwiddie",3000,"Det@Bkn 06:00PM ET",11.333,"Det"
"PF","Larry Nance Jr.",3000,"Ind@LAL 09:30PM ET",10.861,"LAL"
"SF","K.J. McDaniels",3000,"Hou@NY 07:30PM ET",4.850,"Hou"
"PF","Rakeem Christmas",3000,"Ind@LAL 09:30PM ET",0,"Ind"
"SF","Jakarr Sampson",3000,"Phi@Mem 06:00PM ET",9.632,"Phi"
"SG","Norman Powell",3000,"Pho@Tor 06:00PM ET",3.406,"Tor"
"C","Alex Len",3000,"Pho@Tor 06:00PM ET",13.016,"Pho"
"C","Lucas Nogueira",3000,"Pho@Tor 06:00PM ET",3.500,"Tor"
"SF","Sergey Karasev",3000,"Det@Bkn 06:00PM ET",2.833,"Bkn"
"SF","Sam Dekker",3000,"Hou@NY 07:30PM ET",1.083,"Hou"
"SG","R.J. Hunter",3000,"Bos@Orl 06:00PM ET",7.068,"Bos"
"PF","Richaun Holmes",3000,"Phi@Mem 06:00PM ET",10.188,"Phi"
"SG","Jordan Adams",3000,"Phi@Mem 06:00PM ET",9.500,"Mem"
"PF","Montrezl Harrell",3000,"Hou@NY 07:30PM ET",7.462,"Hou"
"SF","Glenn Robinson III",3000,"Ind@LAL 09:30PM ET",9.545,"Ind"
"SG","Archie Goodwin",3000,"Pho@Tor 06:00PM ET",8.455,"Pho"
"SF","Anthony Bennett",3000,"Pho@Tor 06:00PM ET",4.000,"Tor"
"SF","Cleanthony Early",3000,"Hou@NY 07:30PM ET",2.700,"NY"
"PG","Delon Wright",3000,"Pho@Tor 06:00PM ET",1.125,"Tor"
"PF","Jarell Martin",3000,"Phi@Mem 06:00PM ET",0,"Mem"
"PF","Jordan Mickey",3000,"Bos@Orl 06:00PM ET",6.125,"Bos"
"PF","Christian Wood",3000,"Phi@Mem 06:00PM ET",9.182,"Phi"
"PG","Terry Rozier",3000,"Bos@Orl 06:00PM ET",3.850,"Bos"
"SG","James Young",3000,"Bos@Orl 06:00PM ET",2.750,"Bos"
"C","Joel Embiid",3000,"Phi@Mem 06:00PM ET",0,"Phi"
"SF","Bruno Caboclo",3000,"Pho@Tor 06:00PM ET",0.000,"Tor"
"SG","Mario Hezonja",3000,"Bos@Orl 06:00PM ET",7.328,"Orl"
"SG","Devin Booker",3000,"Pho@Tor 06:00PM ET",8.500,"Pho"
"PF","Chris McCullough",3000,"Det@Bkn 06:00PM ET",0,"Bkn"
